Título da Obra;isbn;qualis
Defesa e seguranc¿a do Atla¿ntico Sul : VIII ENABED;9788578225414 ;L3
Del espacio Cantábrico al Mundo Ameriano. Perspectivas sobre migración, etnicidad y retiro;9790000000000 ;L1
Deliberação e Capitalismo: Uma Crítica Marxista ao Pensamento de Habermas;9788547301361 ;L1
Deliberação Online no Brasil: entre iniciativas de democracia digital e redes sociais de conversação;9788523214821 ;L1
Democracia Digital e Governo Eletrônico;9790000000000 ;L2
Democracia digital, comunicação política e redes: teoria e prática;9788561012885 ;L1
Democracia e Ciências Sociais: Memória, Políticas e Desigualdades;9788549500359 ;L1
Democracia e justiça no Brasil;9790000000000 ;L2
DEMOCRACIA E REPRESENTAÇÃO: TERRITÓRIOS EM DISPUTA;9790000000000 ;L4
DEMOCRACIA PARTICIPATIVA E IZQUIERDAS: LOGROS, CONTRADICCIONES Y DESAFÍOS;9790000000000 ;L2
Democracy and Media at Work: Portugal and Brazil;9789892609 ;L4
Desafios ambientais da Zona Costeira;9790000000000 ;L1
Desafíos estratégicos del regionalismo contemporáneo: CELAC e Iberoamérica;9790000000000 ;L3
DESAFIOS GERENCIAIS EM DEFESA;8587015044 ;L3
Desde as Amazônias: colóquios;9878568914007 ;L2
DESENHO INSTITUCIONAL, DEMOCRACIA E PARTICIPAÇÃO: CONEXÕES TEÓRICAS E POSSIBILIDADES ANALÍTICAS.;856702091X;L1
Desenvolvimentismo: O Conceito, as Bases Teóricas, as Políticas.;9790000000000 ;L1
Desenvolvimento e Cooperação Internacional;8523212396 ;L4
Desenvolvimento hidrelétrico: qualidade de vida e capital social no Sul do Brasil.;9790000000000 ;L2
Desenvolvimento socioespacial:novos olhares;9790000000000 ;L1
Desenvolvimento, planejamento e governança: expressões do debate contemporâneo;9790000000000 ;L3
DESIDERÁ, Walter. (Org.) . O Brasil e novas dimensões da integração regional. 1. ed. Rio de Janeiro: IPEA, 2014. v. 1. 508p .;9790000000000 ;L1
"DESIDERÁ, Walter. (Org.) ; TEIXEIRA, R. A. (Org.) . Perspectivas para a integração da América Latina. 1. ed. Brasília: IPEA, 2014. v.1 326p.";9790000000000 ;L1
Design para uma educação inclusiva;9788580392012 ;L3
Desigualdade e Democracia: O Debate da teoria Política;9788539306329 ;L3
Después de Santiago: Integración Regional y Relaciones Unión Europea-América Latina;9780000000000 ;L2
Desvendando Minas: descaminhos do projeto neoliberal;9790000000000 ;NC
Desvendando os interesses por trás da Lei da Ficha Limpa;9780000000000 ;L3
Developmental pathways to poverty reduction;9780000000000 ;L3
Développement durable: mutations ou métamorphoses de la responsabilité?;9782233007858 ;L2
Diálogos em Didática;9788555800030 ;L1
Diálogos lusófonos em comunicação e política;9789896543150 ;L4
Diálogos Sul-Americanos:10 anos da Política Exterior;9788579835940 ;L2
Diccionario LID Inteligengia y SeguridadSEGURANÇA INTERNACIONAL: DA ORDEM INTERNACIONAL AOS DESAFIOS PARA A AMÉRICA DO SUL E PARA A CELAC;9790000000000 ;L1
Diccionário político y social del mundo iberoamericano: Civilización;9790000000000 ;L2
Diccionario político y social del mundo iberoamericano: conceptos políticos fundamentales;9790000000000 ;L4
Dicionário Critico: Políticas de Assistência Social no Brasil;9788538602965 ;L1
Dicionario de Políticas Publicas;9790000000000 ;L2
DICIONÁRIO DE POLÍTICAS PÚBLICAS - 2ª EDIÇÃO;9790000000000 ;L2
Dicionário temático desenvolvimento e questão social;9790000000000 ;L4
